ticker,market,name,avg_price,quantity,buy_amount,current_price,current_price_source,current_price_updated_at,evaluation_amount,unrealized_pnl_pct,unrealized_pnl_amount,latest_target_date,latest_final_decision,latest_confidence_score,preferred_entry,stop_loss,take_profit1,take_profit2,no_buy_score,no_buy_level,no_buy_reasons,market_regime,market_risk_score,current_rr,distance_to_stop_pct,distance_to_tp1_pct,holding_risk_score,portfolio_action,portfolio_action_reason,add_buy_allowed,trim_required,stop_loss_required,take_profit_suggested,data_status,updated_at,symbol,code,종목코드,stock_name,종목명,종목,시장,현재가,last_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,손절가,stop,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,손익비,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,valuation_score,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
RKLB,미국주식,,67.5,,,125.4499969482422,predictions.prev_close,2026-05-23T08:31:07,,85.85184733072919,,2026-05-22,돌파 확인 후 접근,29.0,126.82458431498269,111.41794717530394,148.34380502259552,159.06913546738286,20.0,매수금지 아님,방향 적중률 60% 이상 / TP1 터치율 20% 미만 / 평균 최종 손익 양수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 프리마켓 +5% 이상 급등: 추격매수 금지 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 현재가가 우선진입가 대비 +5.6% (한도 5%) / 이벤트·매크로 고변동 구간 (risk_mult 1.90),데이터 부족,50.0,1.6315369774774842,12.594065972926582,18.249349247731562,0,데이터 부족,미실현수익 +10% 이상 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,미국주식,,174.64,,,,,2026-05-23T08:31:07,,,,,,,,,,,,,,이벤트 변동성장,55.0,,,,15,데이터 부족,이벤트 변동성장,0,0,0,0,DATA_MISSING,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMO,미국주식,,244.21,,,,,2026-05-23T08:31:07,,,,,,,,,,,,,,이벤트 변동성장,55.0,,,,15,데이터 부족,이벤트 변동성장,0,0,0,0,DATA_MISSING,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131970,한국주식,두산테스나,178200.0,30.0,5346000.0,165600.0,holdings.current_price,2026-05-23T08:31:07,4968000.0,-7.070707070707072,-378000.0,2026-05-22,관망 우위,12.0,170392.06790857142,159485.40512861725,194632.35,201196.6,20.0,매수금지 아님,"이벤트 변동성장 / 방향 적중률 60% 이상 / 뉴스/이벤트 악재 또는 위험 문구 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 시장 필터: 이벤트 변동성장 · 위험점수 55 · 이벤트 리스크: FOMC, CPI/PPI, 실적 / 이벤트 변동성장 신뢰도 감점",이벤트 변동성장,55.0,4.748041466471619,3.8339526218412523,17.531612318840573,40,비중 축소 우선,미실현손익률 -5% 이하 / 최신 예측판단 관망 우위 / 이벤트 변동성장,0,1,0,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222800,한국주식,심텍,98200.0,55.0,5401000.0,103600.0,holdings.current_price,2026-05-23T08:31:07,5698000.0,5.498981670061109,297000.0,2026-05-22,돌파 확인 후 접근,0.0,128376.99116040324,120798.90501325791,139365.216073764,144669.8763767657,35.0,주의,"이벤트 변동성장 / 방향 적중률 60% 이상 / 평균 최종 손익 음수 / 뉴스/이벤트 악재 또는 위험 문구 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 시장 필터: 이벤트 변동성장 · 위험점수 55 · 이벤트 리스크: FOMC, CPI/PPI, 실적 / 이벤트 변동성장 신뢰도 감점",이벤트 변동성장,55.0,,-14.237633206501588,34.522409337610036,55,손절 우선,현재가가 손절가 아래 / 이벤트 변동성장 / 손절 기준 확인 필요,0,0,1,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNDK,미국주식,샌디스크,791.589,5.0,3957.945,1392.56,holdings.current_price,2026-05-23T08:31:07,6962.799999999999,75.91957442561733,3004.8549999999996,2026-05-22,비중 축소 우선,2.0,1424.460754698032,1252.750320491425,1664.2369594339752,1783.7731782069045,60.0,관망 우위,방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 방향 적중률 낮음 / 가상매매 평균 -2.6%,데이터 부족,50.0,1.9431913469003605,11.160219017444017,19.509174429394438,30,비중 축소 우선,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 비중 축소 우선,0,1,0,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBIS,미국주식,네비우스 그룹,159.0,22.0,3498.0,191.82,holdings.current_price,2026-05-23T08:31:07,4220.04,20.641509433962256,722.0399999999998,2026-05-22,관망 우위,17.0,204.27032397749667,175.13365359080046,246.51849603820625,266.9141653088936,40.0,주의,TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 우선진입가가 예상시초가와 -6.5% 괴리: 즉시매수 금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.9%,데이터 부족,50.0,3.278039104357191,9.527778395000631,28.515533332398224,0,보유 유지,미실현수익 +10% 이상 / 최신 예측판단 관망 우위,1,0,0,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCL,미국주식,써클 인터넷 그룹,94.55,30.0,2836.5,111.62,holdings.current_price,2026-05-23T08:31:07,3348.6000000000004,18.053939714436808,512.1000000000003,2026-05-22,비중 축소 우선,0.0,110.50928150611708,104.0315919454012,119.24247074662478,123.75191433431716,55.0,관망 우위,TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 최근 보정 후 성과 악화 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 최근 손절 빈도 높음,데이터 부족,50.0,1.0044887796993636,7.294330417034689,6.828947094270532,38,비중 축소 우선,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 비중 축소 우선 / 현재 손익비 1:1.5 미만,0,1,0,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMNR,미국주식,비트마인 이머전 테크놀로지스,22.7463,211.0,4799.469300000001,19.61000061035156,predictions.prev_close,2026-05-23T08:31:07,4137.710128784179,-13.788173855301489,-661.7591712158214,2026-05-22,관망 우위,23.0,18.819693174402094,18.168006241057714,21.02536953059628,21.546168472702032,15.0,매수금지 아님,방향 적중률 60% 이상 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 주봉 강한 하락 추세 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 최근 손절 빈도 높음,데이터 부족,50.0,0.981535677519904,7.936998425479924,7.217587333972797,50,손절 우선,미실현손익률 -10% 이하 / 최신 예측판단 관망 우위 / 현재 손익비 1:1 미만 / 손절 기준 확인 필요 / 현재가 대체값 사용: predictions.prev_close,0,0,1,0,OK,2026-05-23T08:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTS,미국주식,,81.9264,,,96.2300033569336,predictions.prev_close,2026-05-23T08:58:22,,17.459089325215803,,2026-05-22,눌림목 매수 가능,25.0,97.8542663271964,89.04374056188193,110.6295286869024,116.79689672262252,0.0,매수금지 아님,TP1 터치율 50% 이상 / 평균 최종 손익 양수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 최근 보정 성과 개선 / 프리마켓 +5% 이상 급등: 추격매수 금지 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 현재가가 우선진입가 대비 +5.6% (한도 5%) / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.1%,데이터 부족,50.0,2.003757132272435,8.070486201169281,14.96365460630662,0,데이터 부족,미실현수익 +10% 이상 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT,미국주식,,782.78,,,865.9500122070312,predictions.prev_close,2026-05-23T08:58:22,,10.624953653265457,,2026-05-22,관망 우위,53.0,844.9559816125377,829.6157768958067,917.4941863448142,929.4735990724116,55.0,관망 우위,TP1 터치율 20% 미만 / 평균 최종 손익 음수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.7%,데이터 부족,50.0,1.4186117774676181,4.379646135368498,5.952326740710268,23,데이터 부족,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 관망 우위 / 현재 손익비 1:1.5 미만 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,미국주식,,55.29,,,118.5,predictions.prev_close,2026-05-23T08:58:22,,114.32447097124255,,2026-05-22,비중 축소 우선,25.0,117.84959470165003,112.3102366849731,130.54699695886342,134.81059128846937,75.0,매수금지,방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 평균 최종 손익 음수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 방향 적중률 낮음,데이터 부족,50.0,1.9462774819865747,5.51130822775221,10.166242159378402,40,데이터 부족,미실현수익 +10% 이상 / no_buy_score 70 이상 / 최신 예측판단 비중 축소 우선 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITE,미국주식,,869.0,,,964.5,predictions.prev_close,2026-05-23T08:58:22,,10.989643268124283,,2026-05-22,비중 축소 우선,0.0,926.1164659008108,878.455107763686,1060.7098502184729,1097.4228325932916,75.0,매수금지,방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 최근 보정 후 성과 악화 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 방향 적중률 낮음 / 최근 손절 빈도 높음 / 매수금지 필터: 관망 우위 · 방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 거래량 부족 또는 데이터 부족 / 최근 보정 후 성과 악화 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 방향 적중률 낮음 / 최근 손절 빈도 높음,데이터 부족,50.0,1.1181355187736395,9.79502440999649,9.975101111298379,48,데이터 부족,미실현수익 +10% 이상 / no_buy_score 70 이상 / 최신 예측판단 비중 축소 우선 / 현재 손익비 1:1.5 미만 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKLB,미국주식,,67.5,,,125.4499969482422,predictions.prev_close,2026-05-23T08:58:22,,85.85184733072919,,2026-05-22,돌파 확인 후 접근,29.0,126.82458431498269,111.41794717530394,148.34380502259552,159.06913546738286,20.0,매수금지 아님,방향 적중률 60% 이상 / TP1 터치율 20% 미만 / 평균 최종 손익 양수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 프리마켓 +5% 이상 급등: 추격매수 금지 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 현재가가 우선진입가 대비 +5.6% (한도 5%) / 이벤트·매크로 고변동 구간 (risk_mult 1.90),데이터 부족,50.0,1.6315369774774842,12.594065972926582,18.249349247731562,0,데이터 부족,미실현수익 +10% 이상 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,미국주식,,174.64,,,,,2026-05-23T08:58:22,,,,,,,,,,,,,,이벤트 변동성장,55.0,,,,15,데이터 부족,이벤트 변동성장,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMO,미국주식,,244.21,,,,,2026-05-23T08:58:22,,,,,,,,,,,,,,이벤트 변동성장,55.0,,,,15,데이터 부족,이벤트 변동성장,0,0,0,0,DATA_MISSING,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131970,한국주식,두산테스나,178200.0,30.0,5346000.0,165600.0,holdings.current_price,2026-05-23T08:58:22,4968000.0,-7.070707070707072,-378000.0,2026-05-26,관망 우위,6.0,164512.37686755924,153962.94537474713,194285.13224986865,200891.73224986866,20.0,매수금지 아님,"이벤트 변동성장 / 방향 적중률 60% 이상 / 뉴스/이벤트 악재 또는 위험 문구 / 대형 이벤트일: 변동성 확대 / 우선진입가가 예상시초가와 -6.5% 괴리: 즉시매수 금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 시장 필터: 이벤트 변동성장 · 위험점수 55 · 원/달러 환율 상승 1.38% / 이벤트 리스크: FOMC, CPI/PPI, 실적 / 이벤트 변동성장 신뢰도 감점",이벤트 변동성장,55.0,2.4649821775022667,7.558347625091333,17.32193976441343,40,비중 축소 우선,미실현손익률 -5% 이하 / 최신 예측판단 관망 우위 / 이벤트 변동성장,0,1,0,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222800,한국주식,심텍,98200.0,55.0,5401000.0,103600.0,holdings.current_price,2026-05-23T08:58:22,5698000.0,5.498981670061109,297000.0,2026-05-26,돌파 확인 후 접근,0.0,133918.23716619218,125654.18496264218,146314.31547151718,152925.55723435717,35.0,주의,"이벤트 변동성장 / 방향 적중률 60% 이상 / 평균 최종 손익 음수 / 뉴스/이벤트 악재 또는 위험 문구 / RSI 75 이상 과열 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 갭·과열 구간: 눌림 대기 또는 매수금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 시장 필터: 이벤트 변동성장 · 위험점수 55 · 원/달러 환율 상승 1.38% / 이벤트 리스크: FOMC, CPI/PPI, 실적 / 이벤트 변동성장 신뢰도 감점",이벤트 변동성장,55.0,,-17.551492589919736,41.230034238916204,55,손절 우선,현재가가 손절가 아래 / 이벤트 변동성장 / 손절 기준 확인 필요,0,0,1,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNDK,미국주식,샌디스크,791.589,5.0,3957.945,1392.56,holdings.current_price,2026-05-23T08:58:22,6962.799999999999,75.91957442561733,3004.8549999999996,2026-05-22,비중 축소 우선,2.0,1424.460754698032,1252.750320491425,1664.2369594339752,1783.7731782069045,60.0,관망 우위,방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 방향 적중률 낮음 / 가상매매 평균 -2.6%,데이터 부족,50.0,1.9431913469003605,11.160219017444017,19.509174429394438,30,비중 축소 우선,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 비중 축소 우선,0,1,0,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBIS,미국주식,네비우스 그룹,159.0,22.0,3498.0,191.82,holdings.current_price,2026-05-23T08:58:22,4220.04,20.641509433962256,722.0399999999998,2026-05-22,관망 우위,17.0,204.27032397749667,175.13365359080046,246.51849603820625,266.9141653088936,40.0,주의,TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 우선진입가가 예상시초가와 -6.5% 괴리: 즉시매수 금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.9%,데이터 부족,50.0,3.278039104357191,9.527778395000631,28.515533332398224,0,보유 유지,미실현수익 +10% 이상 / 최신 예측판단 관망 우위,1,0,0,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCL,미국주식,써클 인터넷 그룹,94.55,30.0,2836.5,111.62,holdings.current_price,2026-05-23T08:58:22,3348.6000000000004,18.053939714436808,512.1000000000003,2026-05-22,비중 축소 우선,0.0,110.50928150611708,104.0315919454012,119.24247074662478,123.75191433431716,55.0,관망 우위,TP1 터치율 20% 미만 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 최근 보정 후 성과 악화 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 최근 손절 빈도 높음,데이터 부족,50.0,1.0044887796993636,7.294330417034689,6.828947094270532,38,비중 축소 우선,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 비중 축소 우선 / 현재 손익비 1:1.5 미만,0,1,0,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMNR,미국주식,비트마인 이머전 테크놀로지스,22.7463,211.0,4799.469300000001,19.61000061035156,predictions.prev_close,2026-05-23T08:58:22,4137.710128784179,-13.788173855301489,-661.7591712158214,2026-05-22,관망 우위,23.0,18.819693174402094,18.168006241057714,21.02536953059628,21.546168472702032,15.0,매수금지 아님,방향 적중률 60% 이상 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 주봉 강한 하락 추세 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 최근 손절 빈도 높음,데이터 부족,50.0,0.981535677519904,7.936998425479924,7.217587333972797,50,손절 우선,미실현손익률 -10% 이하 / 최신 예측판단 관망 우위 / 현재 손익비 1:1 미만 / 손절 기준 확인 필요 / 현재가 대체값 사용: predictions.prev_close,0,0,1,0,OK,2026-05-23T08:58:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTS,미국주식,,81.9264,,,96.2300033569336,predictions.prev_close,2026-05-24T18:30:55,,17.459089325215803,,2026-05-22,눌림목 매수 가능,25.0,97.8542663271964,89.04374056188193,110.6295286869024,116.79689672262252,0.0,매수금지 아님,TP1 터치율 50% 이상 / 평균 최종 손익 양수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 최근 보정 성과 개선 / 프리마켓 +5% 이상 급등: 추격매수 금지 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 현재가가 우선진입가 대비 +5.6% (한도 5%) / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.1%,데이터 부족,50.0,2.003757132272435,8.070486201169281,14.96365460630662,0,데이터 부족,미실현수익 +10% 이상 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-24T18:30:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT,미국주식,,782.78,,,865.9500122070312,predictions.prev_close,2026-05-24T18:30:55,,10.624953653265457,,2026-05-22,관망 우위,53.0,844.9559816125377,829.6157768958067,917.4941863448142,929.4735990724116,55.0,관망 우위,TP1 터치율 20% 미만 / 평균 최종 손익 음수 / 뉴스/이벤트 악재 또는 위험 문구 / 거래량 부족 또는 데이터 부족 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 검증학습 주의: 가상매매 평균 -1.7%,데이터 부족,50.0,1.4186117774676181,4.379646135368498,5.952326740710268,23,데이터 부족,미실현수익 +10% 이상 / no_buy_score 50 이상 / 최신 예측판단 관망 우위 / 현재 손익비 1:1.5 미만 / 현재가 대체값 사용: predictions.prev_close,0,0,0,0,DATA_MISSING,2026-05-24T18:30:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
